# Export from Google sheet at https://docs.google.com/spreadsheets/d/1wCQPQdr9yOmjDu9Ab79-Om0IzIgIXmnkuOUfvBTcAkU/edit#gid=0
# Generated 2019-04-28
Phenotype Area	Tag name (phenotype concept)	Description	Instructions	UMLS CUI	UMLS term
Lung	FEV1	Forced expiratory volume in 1 second (FEV1) measured using spirometry	Include variables that represent an FEV1 measurement. Include all time points and all repeated measures at each time point, e.g. FEV1 measured at multiple exams, and FEV1 measured multiple times at the same exam. Include all instances of duplicated variables, e.g. FEV1 variables included in multiple datasets. Include variables in all measurement units available, e.g. FEV1 in liters and FEV1 in milliliters. Include both individual measures of FEV1 and averages or maximum values thereof. Include both corrected/adjusted and uncorrected/unadjusted measures. Include measures both pre- and post-bronchodilator administration.	C0802965	Volume^at 1.0 s post forced expiration:Volume:Point in time:Respiratory system:Quantitative
Lung	Asthma	Qualitative indicator of asthma status	Include variables that represent whether or when a subject has experienced asthma. Include variables that represent prevalent and/or incident asthma status. Include variables that represent asthma onset event data, including event status and time-to-event variables. Include variables that indicate age at asthma onset, e.g. self-reported age at asthma diagnosis. Include variables indicating asthma status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. asthma onset variables included in multiple datasets. Do not include variables that indicate possible asthma treatments, e.g. bronchial thermoplasty or immunotherapy. Do not include variables that indicate medication use related to asthma, e.g. albuterol inhaler, beta agonist, or corticosteroid use. Do not include quantitative measures of lung function, spirometry, response to bronchodilator, or other factors used to calculate/infer asthma status.	C1272273	Asthma finding
Lung	Asthma severity	Qualitative and quantitative measures of asthma severity	Include variables that represent measures or qualitative descriptors of asthma severity. Include variables determined by a clinician or examiner and self-reported variables. Examples include questionnaire responses regarding asthma severity, and description of asthma symptoms, asthma exacerbations, asthma attack frequency, or medical care for asthma. Include all time points and all repeated measures at each time point, e.g. asthma severity at multiple exams, or asthma severity assessed multiple times at the same exam. Include all instances of duplicated variables, e.g. asthma severity variables included in multiple datasets. Include variables in all available units, e.g. asthma symptom frequency per week and asthma symptom frequency per year. Do not include variables indicating asthma status or spirometry measures.	C0581122	Asthma severity
Lung	COPD	Qualitative indicator of Chronic Obstructive Pulmonary Disease (COPD) status	Include variables that represent whether or when a subject has experienced COPD. Include variables that represent prevalent and/or incident COPD status. Include variables that represent COPD event data, including event status and time-to-event variables. Include variables that indicate age at COPD events, e.g. self-reported age at COPD onset. Include variables indicating COPD status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. COPD variables included in multiple datasets. Do not include variables that indicate possible COPD treatments, e.g. supplemental oxygen administration or lung transplant. Do not include variables that indicate medication use related to COPD, e.g. corticosteroid or bronchodilator use. Do not include variables that are quantitative measures of lung function that can be used to calculate COPD status, such as FVC, FEV1, or other spirometry measures.	C0024117	Chronic Obstructive Airway Disease
Sleep	Sleep apnea	Qualitative indicator of sleep apnea status	Include variables that represent whether or when a subject has experienced sleep apnea. Include variables indicating sleep apnea of any type (obstructive, central, or complex). Include variables indicating the type of sleep apnea, e.g. a categorical variable with values 'obstructive', 'central', and 'complex'. Include variables that represent prevalent and/or incident sleep apnea status. Include variables that represent sleep apnea event data, including event status and time-to-event variables. Include variables that indicate age at sleep apnea events, e.g. self-reported age at sleep apnea onset. Include variables indicating sleep apnea status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. sleep apnea variables included in multiple datasets. Do not include variables that indicate possible sleep apnea treatments, e.g. CPAP or supplemental oxygen use. Do not include quantitative measures that can be used to calculate sleep apnea status, such as AHI.	C0037315	Sleep Apnea Syndromes
Sleep	AHI	Quantitative measure of Apnea-Hypopnea Index (AHI), a measure of sleep apnea severity	Include variables that represent an AHI measurement. Include all time points and all repeated measures within each time point, e.g. AHI measured at multiple exams. Include all instances of duplicated variables, e.g. AHI variables included in multiple datasets. Include variables in all measurement units available, e.g. AHI in events per hour or in events per day. Include both corrected/adjusted and uncorrected/unadjusted measures.	C2111846	Apnea-hypopnea index procedure
Smoking	Cigarette smoking	Qualitative and quantitative measures of cigarette smoking history and cigarette smoking  status	Include variables that represent qualitative or quantitative descriptors of a subject's cigarette smoking behavior. Include smoking initiation age or date, smoking cessation date or age, duration of smoking, estimates of smoking heaviness (e.g. cigarettes per day or per week), number or timing of smoking cessation attempts, smoking cessation strategies attempted, current and former smoking behavior status (e.g. ever-smoker or never-smoker or former-smoker status), etc. Include estimates of lifetime cigarette smoking exposure, e.g. cigarette pack years. Do not include variables describing use of other substances, e.g. cigars, chewing tobacco, marijuana or other drugs, e-cigarettes (vaping), etc. Do not include variables related to smoking-related health conditions e.g. lung cancer, COPD, emphysema, etc. Do not include variables related to second-hand smoke exposure.	C1519384	Smoking History
Stroke	Ischemic stroke	Qualitative indicator of ischemic stroke status	Include variables that represent whether or when a subject has experienced ischemic stroke. Include variables that represent prevalent and/or incident ischemic stroke status. Include variables that represent ischemic stroke event data, including event status and time-to-event variables. Include variables that indicate age at ischemic stroke events, e.g. self-reported age at an ischemic stroke event. Include variables indicating ischemic stroke status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. ischemic stroke variables included in multiple datasets. Include variables that indicate the subtype of ischemic stroke, e.g. thrombotic or embolic. Do not include variables that indicate transient ischemic attack (TIA) status. Do not include variables that indicate medication use related to ischemic stroke, e.g. aspirin use. For variables that identify multiple stroke types (e.g. value = ischemic, hemorrhagic, other, none), tag with all three stroke tags.	C0948008	Ischemic stroke
Stroke	Hemorrhagic stroke	Qualitative indicator of hemorrhagic stroke status	Include variables that represent whether or when a subject has experienced hemorrhagic stroke. Include variables that represent prevalent and/or incident hemorrhagic stroke status. Include variables that represent hemorrhagic stroke event data, including event status and time-to-event variables. Include variables that indicate age at hemorrhagic stroke events, e.g. self-reported age at an hemorrhagic stroke event. Include variables indicating hemorrhagic stroke status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. hemorrhagic stroke variables included in multiple datasets. Include variables that indicate the subtype of hemorrhagic stroke, e.g. intracerebral or subarachnoid. Do not include variables that indicate transient ischemic attack (TIA) status. Do not include variables that indicate medication use related to hemorrhagic stroke, e.g. aspirin use. For variables that identify multiple stroke types (e.g. value = ischemic, hemorrhagic, other, none), tag with all three stroke tags.	C0553692	Brain hemorrhage
Stroke	Other stroke	Qualitative indicator of other/unspecified stroke status	Include variables that represent whether or when a subject has experienced a stroke of unknown/unspecified type ("other stroke"). Include variables that represent prevalent and/or incident other stroke status. Include variables that represent other stroke event data, including event status and time-to-event variables. Include variables that indicate age at other stroke events, e.g. self-reported age at an other stroke event. Include variables indicating other stroke status based on any method of determination, including self report, adjudication, clinical verification, medical records, ICD codes, or calculation/inference from related traits. Include all instances of duplicated variables, e.g. other stroke variables included in multiple datasets. Do not include variables that indicate transient ischemic attack (TIA) status, unless they also include stroke of unknown/unspecified type. Do not include variables that indicate medication use related to other stroke, e.g. aspirin use. For variables that identify multiple stroke types (e.g. value = ischemic, hemorrhagic, other, none), tag with all three stroke tags.	C4489300	Stroke- other stroke
Supporting phenotypes	Age at enrollment/collection	Participant age at enrollment or age at which data or biosamples were collected	Include variables that represent age directly and all variables used to calculate age (e.g. days since exam/visit). Include variables representing age at enrollment/recruitment; age at blood draw; age at other biosample collection; age at imaging exam; days since baseline visit; days since enrollment/recruitment; etc. Include all instances of duplicated variables, e.g. age at exam 1 found in two different datasets. Include variables in all measurement units available, e.g. age at enrollment in whole years and age at enrollment in days. These types of variables usually provide age for multiple different phenotypes. For example, age at blood draw corresponds to age at measurement of all blood chemistry analytes assayed from that blood draw; age at clinic visit for imaging provides age for all traits derived from the images, etc. Do not include variables that represent the timing of a specific event, diagnosis, or behavior, e.g. age at asthma diagnosis, age at smoking initiation, and time of a time-to-event variable such as MI events. 	C0001779	Age
Supporting phenotypes	Subcohort	Categorical indicator of membership in different study subcohorts (i.e. participant subsets within a study who were recruited at different times and/or enrolled in different sub-studies)	Include all variables that represent a subject's membership in a "subcohort" - a subset within a study determined by enrollment time, sub-study, or other distinguishing group factor. Examples include original or offspring (etc.) cohort in Framingham Heart Study and the observational study and clinical trial subsets of the Women's Health Initiative. Include all variables representing subcohort membership, e.g. a master variable in the study's subject file. Include variables duplicated in multiple datasets, e.g. a variable indicating subject membership in several or every dataset file in the study. If your study does not contain variables indicating subcohort membership, then you may not need to use this tag in your study, e.g. if the data from each subcohort is contained in different datasets.	C0599755	cohort
Supporting phenotypes	Clinic visit	Categorical indicator of the clinical visit (exam, year, etc.) during which observations, measurements and/or other data/biosample collections were made	Include all variables that represent the clinical visit/exam/year at which a measurement/observation was made. Examples include visit names like 'baseline', 'exam 1', 'visit 1', 'ancillary study A', or categorical codes representing such values. Include all variables representing clinic visit, e.g. a variable representing clinic visit coded as '1', '2', '3', etc.; a variable representing visit year as '1995', '1998', '2002', etc. If your study does not contain variables indicating clinic visit, then you may not need to use this tag in your study, e.g. if the data from each clinic visit is separated into different datasets.	C0008952	Clinic Visits
Supporting phenotypes	Fasting	Qualitative or quantitative indicator describing or quantifying fasting status prior to blood draw for any blood sample-derived measurement	Include variables indicating fasting status or fasting time related to other blood sample-derived variables. Include both qualitative indicators of fasting status and quantitative measures such as hours of fasting. Include all time points and all repeated measures within each time point, e.g. fasting status variables included in multiple datasets. Include all instances of duplicated variables, e.g. fasting status for two different blood draws in different datasets. Include both corrected/adjusted and uncorrected/unadjusted measures. 	C1976106	fasting status
Supporting phenotypes	Geographic site	Categorical indicator of the clinic, recruitment site, and/or field center at which participants were recruited, and/or where data or biosamples were collected.	Include variables indicating the clinic site, recruitment site, and/or field center at which participants were recruited and/or where data or biosamples were collected. Include variables for which specific clinic/field center names or geographic locations are provided (e.g. a categorical variable with values 'Cleveland Clinic', and 'New York') and those for which this information is encoded (e.g. a categorical variable with values 'A', 'B', and 'C'). Include all instances of duplicated variables, e.g. redundant clinic site variables in multiple datasets. If your study does not contain variables indicating geographic site, and/or does not contain data from multiple geographic sites, then you may not need to use this tag in your study.	C2828208	Locality
Supporting phenotypes	Medication/supplement use	Qualitative or quantitative indicator of use of any kind of medication, vitamin, mineral, or dietary supplement	Include variables indicating, describing or quantifying use-characteristics for any type of medication, vitamin, mineral, or dietary supplement. Include variables describing which medications, vitamin, minerals, or dietary supplements have been or are being used, how frequently, and in what dosage. Include medications, vitamin, minerals, or dietary supplements taken orally, by inhalation (e.g. albuterol), or by injection (e.g. insulin). Include variables in medication inventories; variables indicating use of specific drugs (e.g. statin use); variables indicating use of an entire drug class (e.g. lipid-lowering medication use, beta-blocker use, or anticoagulant use); dosage variables; and variables obtained from questionnaires (e.g. "Do you use an inhaler for asthma treatment?" or "Have you ever taken blood-thinning medication?"). Include medication treatment indicator variables in clinical trial data. Include variables relating to medication use even if they are found in a dataset that is not specifically related to medication use (e.g. a variable indicating inhaler use in a spirometry dataset or a variable indicating antihypertensive medication use in a questionnaire dataset).	C0240320	medication use
